Country,PortName,VesselsinPort,Average_Departures,Average_Arrivals,Type,AreaLocal,AreaGlobal
Netherlands,HELLEVOETSLUIS,92,34,56,Port,Rotterdam Area,UK Coast & Atlantic
Russia,ASTRAKHAN,91,3,15,Port,Caspian Sea,Caspian Sea
USA,TACOMA,91,30,39,Port,US West Coast,US West Coast
Netherlands,MEDEMBLIK,91,74,63,Port,North Sea,UK Coast & Atlantic
Australia,CORAL SEA MARINA,91,44,39,Marina,East Australia,East Australia
Gibraltar,GIBRALTAR,90,79,89,Port,Gibraltar,West Mediterranean
Senegal,DAKAR,90,12,20,Port,West Africa,West Africa
Korea,GWANGYANG,89,78,80,Port,East China Sea,North China
Uruguay,MONTEVIDEO,89,10,11,Port,East Coast South America,East Coast South America
Belgium,OOSTENDE,89,41,56,Port,English Channel,UK Coast & Atlantic
China,DONGYING,88,73,83,Port,Bohai Sea,North China
France,MARSEILLE,88,72,91,Port,West Mediterranean,West Mediterranean
Argentina,MAR DEL PLATA,88,4,12,Port,East Coast South America,East Coast South America
Spain,DENIA,88,17,11,Port,Balearic Sea,West Mediterranean
India,MUMBAI,87,75,74,Port,West Coast India,West Coast India
Mauritius,PORT LOUIS,87,23,27,Port,East Africa,East Africa
Korea,POHANG,87,69,70,Port,North China,North China
Ukraine,IZMAIL,87,18,17,Port,Black Sea,Black Sea
Bahrain,MUHARRAQ,87,8,6,Port,Persian Gulf,Arabian Gulf
